"location_name","location","indicator","year_week","value","source"
"Austria","AT","cases","2021-38",11753,"TESSy COVID-19"
"Austria","AT","cases","2021-39",12600,"TESSy COVID-19"
"Austria","AT","cases","2021-40",12771,"TESSy COVID-19"
"Austria","AT","cases","2021-41",15338,"TESSy COVID-19"
"Austria","AT","cases","2021-42",23830,"TESSy COVID-19"
"Austria","AT","cases","2021-43",34557,"TESSy COVID-19"
"Austria","AT","cases","2021-44",56412,"TESSy COVID-19"
"Austria","AT","cases","2021-45",78621,"TESSy COVID-19"
"Austria","AT","cases","2021-46",97085,"TESSy COVID-19"
"Austria","AT","cases","2021-47",82539,"TESSy COVID-19"
"Austria","AT","cases","2021-48",50813,"TESSy COVID-19"
"Austria","AT","cases","2021-49",29146,"TESSy COVID-19"
"Austria","AT","cases","2021-50",18844,"TESSy COVID-19"
"Austria","AT","cases","2021-51",14605,"TESSy COVID-19"
"Austria","AT","cases","2021-52",23029,"TESSy COVID-19"
"Austria","AT","cases","2022-01",62194,"TESSy COVID-19"
"Austria","AT","cases","2022-02",110554,"TESSy COVID-19"
"Austria","AT","cases","2022-03",175980,"TESSy COVID-19"
"Austria","AT","cases","2022-04",227274,"TESSy COVID-19"
"Austria","AT","cases","2022-05",231847,"TESSy COVID-19"
"Austria","AT","cases","2022-06",216386,"TESSy COVID-19"
"Austria","AT","cases","2022-07",195511,"TESSy COVID-19"
"Austria","AT","cases","2022-08",185349,"TESSy COVID-19"
"Austria","AT","cases","2022-09",217009,"TESSy COVID-19"
"Austria","AT","cases","2022-10",299203,"TESSy COVID-19"
"Austria","AT","cases","2022-11",315892,"TESSy COVID-19"
"Austria","AT","cases","2022-12",248044,"TESSy COVID-19"
"Austria","AT","cases","2022-13",151681,"TESSy COVID-19"
"Austria","AT","cases","2022-14",96521,"TESSy COVID-19"
"Austria","AT","cases","2022-15",63286,"TESSy COVID-19"
"Austria","AT","cases","2022-16",48996,"TESSy COVID-19"
"Austria","AT","cases","2022-17",40350,"TESSy COVID-19"
"Austria","AT","cases","2022-18",36971,"TESSy COVID-19"
"Austria","AT","cases","2022-19",29760,"TESSy COVID-19"
