"location_name","location","indicator","value","source"
"Austria","AT","cases",175980,"TESSy COVID-19"
"Austria","AT","cases",227275,"TESSy COVID-19"
"Austria","AT","cases",231846,"TESSy COVID-19"
"Austria","AT","cases",216387,"TESSy COVID-19"
"Austria","AT","cases",195512,"TESSy COVID-19"
"Austria","AT","cases",185350,"TESSy COVID-19"
"Austria","AT","cases",217008,"TESSy COVID-19"
"Austria","AT","cases",299204,"TESSy COVID-19"
"Austria","AT","cases",315891,"TESSy COVID-19"
"Austria","AT","cases",248039,"TESSy COVID-19"
"Austria","AT","cases",151681,"TESSy COVID-19"
"Austria","AT","cases",96526,"TESSy COVID-19"
"Austria","AT","cases",63286,"TESSy COVID-19"
"Austria","AT","cases",48997,"TESSy COVID-19"
"Austria","AT","cases",40350,"TESSy COVID-19"
"Austria","AT","cases",36971,"TESSy COVID-19"
"Austria","AT","cases",29760,"TESSy COVID-19"
"Austria","AT","cases",20284,"TESSy COVID-19"
"Austria","AT","cases",15294,"TESSy COVID-19"
"Austria","AT","cases",19507,"TESSy COVID-19"
"Austria","AT","cases",25415,"TESSy COVID-19"
"Austria","AT","cases",40803,"TESSy COVID-19"
"Austria","AT","cases",60223,"TESSy COVID-19"
"Austria","AT","cases",71280,"TESSy COVID-19"
"Austria","AT","cases",73764,"TESSy COVID-19"
"Austria","AT","cases",83409,"TESSy COVID-19"
"Austria","AT","cases",79547,"TESSy COVID-19"
"Austria","AT","cases",54660,"TESSy COVID-19"
"Austria","AT","cases",42903,"TESSy COVID-19"
"Austria","AT","cases",38601,"TESSy COVID-19"
"Austria","AT","cases",37656,"TESSy COVID-19"
"Austria","AT","cases",33704,"TESSy COVID-19"
"Austria","AT","cases",29627,"TESSy COVID-19"
"Austria","AT","cases",28960,"TESSy COVID-19"
"Austria","AT","cases",36220,"TESSy COVID-19"
"Austria","AT","cases",52258,"TESSy COVID-19"
"Austria","AT","cases",83433,"TESSy COVID-19"
"Austria","AT","cases",97846,"TESSy COVID-19"
"Austria","AT","cases",86399,"TESSy COVID-19"
"Austria","AT","cases",58633,"TESSy COVID-19"
"Austria","AT","cases",37101,"TESSy COVID-19"
"Austria","AT","cases",29398,"TESSy COVID-19"
"Austria","AT","cases",24782,"TESSy COVID-19"
"Austria","AT","cases",27033,"TESSy COVID-19"
"Austria","AT","cases",30238,"TESSy COVID-19"
"Austria","AT","cases",33272,"TESSy COVID-19"
"Austria","AT","cases",33266,"TESSy COVID-19"
"Austria","AT","cases",34732,"TESSy COVID-19"
"Austria","AT","cases",32949,"TESSy COVID-19"
"Austria","AT","cases",24808,"TESSy COVID-19"
"Austria","AT","cases",18796,"TESSy COVID-19"
"Austria","AT","cases",14954,"TESSy COVID-19"
"Austria","AT","cases",13848,"TESSy COVID-19"
"Austria","AT","cases",19929,"TESSy COVID-19"
"Austria","AT","cases",26728,"TESSy COVID-19"
"Austria","AT","cases",28853,"TESSy COVID-19"
"Austria","AT","cases",34142,"TESSy COVID-19"
"Austria","AT","cases",39002,"TESSy COVID-19"
"Austria","AT","deaths",NA,"TESSy COVID-19"
"Austria","AT","deaths",NA,"TESSy COVID-19"
"Austria","AT","deaths",NA,"TESSy COVID-19"
"Austria","AT","deaths",NA,"TESSy COVID-19"
"Austria","AT","deaths",NA,"TESSy COVID-19"
"Austria","AT","deaths",NA,"TESSy COVID-19"
"Austria","AT","deaths",NA,"TESSy COVID-19"
"Austria","AT","deaths",NA,"TESSy COVID-19"
"Austria","AT","deaths",0,"TESSy COVID-19"
"Austria","AT","deaths",0,"TESSy COVID-19"
"Austria","AT","deaths",2,"TESSy COVID-19"
"Austria","AT","deaths",30,"TESSy COVID-19"
"Austria","AT","deaths",101,"TESSy COVID-19"
"Austria","AT","deaths",127,"TESSy COVID-19"
"Austria","AT","deaths",150,"TESSy COVID-19"
"Austria","AT","deaths",120,"TESSy COVID-19"
"Austria","AT","deaths",78,"TESSy COVID-19"
"Austria","AT","deaths",51,"TESSy COVID-19"
"Austria","AT","deaths",32,"TESSy COVID-19"
"Austria","AT","deaths",14,"TESSy COVID-19"
"Austria","AT","deaths",18,"TESSy COVID-19"
"Austria","AT","deaths",15,"TESSy COVID-19"
"Austria","AT","deaths",15,"TESSy COVID-19"
"Austria","AT","deaths",15,"TESSy COVID-19"
"Austria","AT","deaths",17,"TESSy COVID-19"
