"location_name","location","indicator","year_week","value","source"
"Austria","AT","cases","2020-01",0,"TESSy COVID-19"
"Austria","AT","cases","2020-02",0,"TESSy COVID-19"
"Austria","AT","cases","2020-03",0,"TESSy COVID-19"
"Austria","AT","cases","2020-04",0,"TESSy COVID-19"
"Austria","AT","cases","2020-05",0,"TESSy COVID-19"
"Austria","AT","cases","2020-06",0,"TESSy COVID-19"
"Austria","AT","cases","2020-07",0,"TESSy COVID-19"
"Austria","AT","cases","2020-08",0,"TESSy COVID-19"
"Austria","AT","cases","2020-09",12,"TESSy COVID-19"
"Austria","AT","cases","2020-10",115,"TESSy COVID-19"
"Austria","AT","cases","2020-11",874,"TESSy COVID-19"
"Austria","AT","cases","2020-12",3046,"TESSy COVID-19"
"Austria","AT","cases","2020-13",5099,"TESSy COVID-19"
"Austria","AT","cases","2020-14",3114,"TESSy COVID-19"
"Austria","AT","cases","2020-15",1838,"TESSy COVID-19"
"Austria","AT","cases","2020-16",686,"TESSy COVID-19"
"Austria","AT","cases","2020-17",449,"TESSy COVID-19"
"Austria","AT","cases","2020-18",310,"TESSy COVID-19"
"Austria","AT","cases","2020-19",260,"TESSy COVID-19"
"Austria","AT","cases","2020-20",324,"TESSy COVID-19"
"Austria","AT","cases","2020-21",264,"TESSy COVID-19"
"Austria","AT","cases","2020-22",195,"TESSy COVID-19"
"Austria","AT","cases","2020-23",228,"TESSy COVID-19"
"Austria","AT","cases","2020-24",172,"TESSy COVID-19"
"Austria","AT","cases","2020-25",248,"TESSy COVID-19"
"Austria","AT","cases","2020-26",334,"TESSy COVID-19"
"Austria","AT","cases","2020-27",640,"TESSy COVID-19"
"Austria","AT","cases","2020-28",597,"TESSy COVID-19"
"Austria","AT","cases","2020-29",784,"TESSy COVID-19"
"Austria","AT","cases","2020-30",872,"TESSy COVID-19"
"Austria","AT","cases","2020-31",793,"TESSy COVID-19"
"Austria","AT","cases","2020-32",721,"TESSy COVID-19"
"Austria","AT","cases","2020-33",1462,"TESSy COVID-19"
"Austria","AT","cases","2020-34",1912,"TESSy COVID-19"
"Austria","AT","cases","2020-35",1945,"TESSy COVID-19"
"Austria","AT","cases","2020-36",2264,"TESSy COVID-19"
"Austria","AT","cases","2020-37",3997,"TESSy COVID-19"
"Austria","AT","cases","2020-38",5215,"TESSy COVID-19"
"Austria","AT","cases","2020-39",4662,"TESSy COVID-19"
"Austria","AT","cases","2020-40",5603,"TESSy COVID-19"
"Austria","AT","cases","2020-41",7489,"TESSy COVID-19"
"Austria","AT","cases","2020-42",9898,"TESSy COVID-19"
"Austria","AT","cases","2020-43",18266,"TESSy COVID-19"
"Austria","AT","cases","2020-44",31623,"TESSy COVID-19"
"Austria","AT","cases","2020-45",44778,"TESSy COVID-19"
"Austria","AT","cases","2020-46",47840,"TESSy COVID-19"
"Austria","AT","cases","2020-47",40704,"TESSy COVID-19"
"Austria","AT","cases","2020-48",31146,"TESSy COVID-19"
"Austria","AT","cases","2020-49",23069,"TESSy COVID-19"
"Austria","AT","cases","2020-50",18695,"TESSy COVID-19"
"Austria","AT","cases","2020-51",14842,"TESSy COVID-19"
"Austria","AT","cases","2020-52",13416,"TESSy COVID-19"
"Austria","AT","cases","2020-53",14916,"TESSy COVID-19"
"Austria","AT","cases","2021-01",14637,"TESSy COVID-19"
"Austria","AT","cases","2021-02",10948,"TESSy COVID-19"
"Austria","AT","cases","2021-03",10156,"TESSy COVID-19"
"Austria","AT","cases","2021-04",9514,"TESSy COVID-19"
"Austria","AT","cases","2021-05",9115,"TESSy COVID-19"
"Austria","AT","cases","2021-06",9461,"TESSy COVID-19"
"Austria","AT","cases","2021-07",11627,"TESSy COVID-19"
"Austria","AT","cases","2021-08",14183,"TESSy COVID-19"
"Austria","AT","cases","2021-09",16315,"TESSy COVID-19"
"Austria","AT","cases","2021-10",18223,"TESSy COVID-19"
"Austria","AT","cases","2021-11",21082,"TESSy COVID-19"
"Austria","AT","cases","2021-12",22316,"TESSy COVID-19"
"Austria","AT","cases","2021-13",20791,"TESSy COVID-19"
"Austria","AT","cases","2021-14",17611,"TESSy COVID-19"
"Austria","AT","cases","2021-15",16817,"TESSy COVID-19"
"Austria","AT","cases","2021-16",15050,"TESSy COVID-19"
"Austria","AT","cases","2021-17",12536,"TESSy COVID-19"
"Austria","AT","cases","2021-18",9018,"TESSy COVID-19"
"Austria","AT","cases","2021-19",5736,"TESSy COVID-19"
"Austria","AT","cases","2021-20",4153,"TESSy COVID-19"
"Austria","AT","cases","2021-21",3157,"TESSy COVID-19"
"Austria","AT","cases","2021-22",2424,"TESSy COVID-19"
"Austria","AT","cases","2021-23",1687,"TESSy COVID-19"
"Austria","AT","cases","2021-24",1002,"TESSy COVID-19"
"Austria","AT","cases","2021-25",681,"TESSy COVID-19"
"Austria","AT","cases","2021-26",632,"TESSy COVID-19"
"Austria","AT","cases","2021-27",1089,"TESSy COVID-19"
"Austria","AT","cases","2021-28",2198,"TESSy COVID-19"
"Austria","AT","cases","2021-29",2530,"TESSy COVID-19"
"Austria","AT","cases","2021-30",3261,"TESSy COVID-19"
"Austria","AT","cases","2021-31",3661,"TESSy COVID-19"
"Austria","AT","cases","2021-32",5903,"TESSy COVID-19"
"Austria","AT","cases","2021-33",8066,"TESSy COVID-19"
"Austria","AT","cases","2021-34",9437,"TESSy COVID-19"
"Austria","AT","cases","2021-35",11274,"TESSy COVID-19"
"Austria","AT","cases","2021-36",14083,"TESSy COVID-19"
"Austria","AT","cases","2021-37",13761,"TESSy COVID-19"
"Austria","AT","cases","2021-38",11753,"TESSy COVID-19"
"Austria","AT","cases","2021-39",12600,"TESSy COVID-19"
"Austria","AT","cases","2021-40",12771,"TESSy COVID-19"
"Austria","AT","cases","2021-41",15337,"TESSy COVID-19"
"Austria","AT","cases","2021-42",23834,"TESSy COVID-19"
"Austria","AT","cases","2021-43",34564,"TESSy COVID-19"
"Austria","AT","cases","2021-44",56414,"TESSy COVID-19"
"Austria","AT","cases","2021-45",78619,"TESSy COVID-19"
"Austria","AT","cases","2021-46",97091,"TESSy COVID-19"
"Austria","AT","cases","2021-47",82539,"TESSy COVID-19"
"Austria","AT","cases","2021-48",50814,"TESSy COVID-19"
"Austria","AT","cases","2021-49",29146,"TESSy COVID-19"
"Austria","AT","cases","2021-50",18845,"TESSy COVID-19"
"Austria","AT","cases","2021-51",14605,"TESSy COVID-19"
"Austria","AT","cases","2021-52",23035,"TESSy COVID-19"
"Austria","AT","cases","2022-01",62200,"TESSy COVID-19"
"Austria","AT","cases","2022-02",110579,"TESSy COVID-19"
"Austria","AT","cases","2022-03",175996,"TESSy COVID-19"
"Austria","AT","cases","2022-04",227295,"TESSy COVID-19"
"Austria","AT","cases","2022-05",231860,"TESSy COVID-19"
"Austria","AT","cases","2022-06",216421,"TESSy COVID-19"
"Austria","AT","cases","2022-07",195526,"TESSy COVID-19"
"Austria","AT","cases","2022-08",185356,"TESSy COVID-19"
"Austria","AT","cases","2022-09",217006,"TESSy COVID-19"
"Austria","AT","cases","2022-10",299207,"TESSy COVID-19"
"Austria","AT","cases","2022-11",315891,"TESSy COVID-19"
"Austria","AT","cases","2022-12",248099,"TESSy COVID-19"
"Austria","AT","cases","2022-13",151759,"TESSy COVID-19"
"Austria","AT","cases","2022-14",96535,"TESSy COVID-19"
"Austria","AT","cases","2022-15",63294,"TESSy COVID-19"
"Austria","AT","cases","2022-16",49007,"TESSy COVID-19"
"Austria","AT","cases","2022-17",40348,"TESSy COVID-19"
"Austria","AT","cases","2022-18",36970,"TESSy COVID-19"
"Austria","AT","cases","2022-19",29763,"TESSy COVID-19"
"Austria","AT","cases","2022-20",20283,"TESSy COVID-19"
"Austria","AT","cases","2022-21",15299,"TESSy COVID-19"
"Austria","AT","cases","2022-22",19509,"TESSy COVID-19"
"Austria","AT","cases","2022-23",25420,"TESSy COVID-19"
"Austria","AT","cases","2022-24",40806,"TESSy COVID-19"
"Austria","AT","cases","2022-25",60229,"TESSy COVID-19"
"Austria","AT","cases","2022-26",71286,"TESSy COVID-19"
"Austria","AT","cases","2022-27",73769,"TESSy COVID-19"
"Austria","AT","cases","2022-28",83413,"TESSy COVID-19"
"Austria","AT","cases","2022-29",79553,"TESSy COVID-19"
"Austria","AT","cases","2022-30",54673,"TESSy COVID-19"
"Austria","AT","cases","2022-31",42903,"TESSy COVID-19"
"Austria","AT","cases","2022-32",38604,"TESSy COVID-19"
"Austria","AT","cases","2022-33",37662,"TESSy COVID-19"
"Austria","AT","cases","2022-34",33709,"TESSy COVID-19"
"Austria","AT","cases","2022-35",29627,"TESSy COVID-19"
"Austria","AT","cases","2022-36",28963,"TESSy COVID-19"
"Austria","AT","cases","2022-37",36225,"TESSy COVID-19"
"Austria","AT","cases","2022-38",52264,"TESSy COVID-19"
"Austria","AT","cases","2022-39",83435,"TESSy COVID-19"
"Austria","AT","cases","2022-40",97879,"TESSy COVID-19"
"Austria","AT","cases","2022-41",86465,"TESSy COVID-19"
"Austria","AT","cases","2022-42",58697,"TESSy COVID-19"
"Austria","AT","cases","2022-43",37275,"TESSy COVID-19"
"Austria","AT","deaths","2020-01",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-02",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-03",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-04",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-05",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-06",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-07",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-08",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-09",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-10",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-11",2,"TESSy COVID-19"
"Austria","AT","deaths","2020-12",30,"TESSy COVID-19"
"Austria","AT","deaths","2020-13",101,"TESSy COVID-19"
"Austria","AT","deaths","2020-14",127,"TESSy COVID-19"
"Austria","AT","deaths","2020-15",150,"TESSy COVID-19"
"Austria","AT","deaths","2020-16",121,"TESSy COVID-19"
"Austria","AT","deaths","2020-17",78,"TESSy COVID-19"
"Austria","AT","deaths","2020-18",51,"TESSy COVID-19"
"Austria","AT","deaths","2020-19",32,"TESSy COVID-19"
"Austria","AT","deaths","2020-20",14,"TESSy COVID-19"
"Austria","AT","deaths","2020-21",18,"TESSy COVID-19"
"Austria","AT","deaths","2020-22",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-23",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-24",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-25",17,"TESSy COVID-19"
"Austria","AT","deaths","2020-26",17,"TESSy COVID-19"
"Austria","AT","deaths","2020-27",9,"TESSy COVID-19"
"Austria","AT","deaths","2020-28",7,"TESSy COVID-19"
"Austria","AT","deaths","2020-29",10,"TESSy COVID-19"
"Austria","AT","deaths","2020-30",8,"TESSy COVID-19"
"Austria","AT","deaths","2020-31",17,"TESSy COVID-19"
"Austria","AT","deaths","2020-32",12,"TESSy COVID-19"
"Austria","AT","deaths","2020-33",10,"TESSy COVID-19"
"Austria","AT","deaths","2020-34",13,"TESSy COVID-19"
"Austria","AT","deaths","2020-35",6,"TESSy COVID-19"
"Austria","AT","deaths","2020-36",16,"TESSy COVID-19"
"Austria","AT","deaths","2020-37",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-38",24,"TESSy COVID-19"
"Austria","AT","deaths","2020-39",34,"TESSy COVID-19"
"Austria","AT","deaths","2020-40",40,"TESSy COVID-19"
"Austria","AT","deaths","2020-41",71,"TESSy COVID-19"
"Austria","AT","deaths","2020-42",65,"TESSy COVID-19"
"Austria","AT","deaths","2020-43",126,"TESSy COVID-19"
"Austria","AT","deaths","2020-44",261,"TESSy COVID-19"
"Austria","AT","deaths","2020-45",397,"TESSy COVID-19"
"Austria","AT","deaths","2020-46",623,"TESSy COVID-19"
"Austria","AT","deaths","2020-47",767,"TESSy COVID-19"
"Austria","AT","deaths","2020-48",857,"TESSy COVID-19"
"Austria","AT","deaths","2020-49",923,"TESSy COVID-19"
"Austria","AT","deaths","2020-50",848,"TESSy COVID-19"
"Austria","AT","deaths","2020-51",706,"TESSy COVID-19"
"Austria","AT","deaths","2020-52",616,"TESSy COVID-19"
"Austria","AT","deaths","2020-53",517,"TESSy COVID-19"
"Austria","AT","deaths","2021-01",436,"TESSy COVID-19"
"Austria","AT","deaths","2021-02",450,"TESSy COVID-19"
"Austria","AT","deaths","2021-03",400,"TESSy COVID-19"
"Austria","AT","deaths","2021-04",369,"TESSy COVID-19"
"Austria","AT","deaths","2021-05",298,"TESSy COVID-19"
"Austria","AT","deaths","2021-06",254,"TESSy COVID-19"
"Austria","AT","deaths","2021-07",219,"TESSy COVID-19"
"Austria","AT","deaths","2021-08",224,"TESSy COVID-19"
"Austria","AT","deaths","2021-09",190,"TESSy COVID-19"
"Austria","AT","deaths","2021-10",214,"TESSy COVID-19"
"Austria","AT","deaths","2021-11",245,"TESSy COVID-19"
"Austria","AT","deaths","2021-12",216,"TESSy COVID-19"
"Austria","AT","deaths","2021-13",271,"TESSy COVID-19"
"Austria","AT","deaths","2021-14",251,"TESSy COVID-19"
"Austria","AT","deaths","2021-15",243,"TESSy COVID-19"
"Austria","AT","deaths","2021-16",200,"TESSy COVID-19"
"Austria","AT","deaths","2021-17",192,"TESSy COVID-19"
"Austria","AT","deaths","2021-18",157,"TESSy COVID-19"
"Austria","AT","deaths","2021-19",104,"TESSy COVID-19"
"Austria","AT","deaths","2021-20",73,"TESSy COVID-19"
"Austria","AT","deaths","2021-21",72,"TESSy COVID-19"
"Austria","AT","deaths","2021-22",47,"TESSy COVID-19"
"Austria","AT","deaths","2021-23",36,"TESSy COVID-19"
"Austria","AT","deaths","2021-24",32,"TESSy COVID-19"
"Austria","AT","deaths","2021-25",19,"TESSy COVID-19"
"Austria","AT","deaths","2021-26",23,"TESSy COVID-19"
"Austria","AT","deaths","2021-27",11,"TESSy COVID-19"
"Austria","AT","deaths","2021-28",13,"TESSy COVID-19"
"Austria","AT","deaths","2021-29",15,"TESSy COVID-19"
"Austria","AT","deaths","2021-30",15,"TESSy COVID-19"
"Austria","AT","deaths","2021-31",19,"TESSy COVID-19"
"Austria","AT","deaths","2021-32",16,"TESSy COVID-19"
"Austria","AT","deaths","2021-33",12,"TESSy COVID-19"
"Austria","AT","deaths","2021-34",35,"TESSy COVID-19"
"Austria","AT","deaths","2021-35",43,"TESSy COVID-19"
"Austria","AT","deaths","2021-36",51,"TESSy COVID-19"
"Austria","AT","deaths","2021-37",85,"TESSy COVID-19"
"Austria","AT","deaths","2021-38",73,"TESSy COVID-19"
"Austria","AT","deaths","2021-39",80,"TESSy COVID-19"
"Austria","AT","deaths","2021-40",73,"TESSy COVID-19"
"Austria","AT","deaths","2021-41",106,"TESSy COVID-19"
"Austria","AT","deaths","2021-42",112,"TESSy COVID-19"
"Austria","AT","deaths","2021-43",141,"TESSy COVID-19"
"Austria","AT","deaths","2021-44",208,"TESSy COVID-19"
"Austria","AT","deaths","2021-45",335,"TESSy COVID-19"
"Austria","AT","deaths","2021-46",395,"TESSy COVID-19"
"Austria","AT","deaths","2021-47",480,"TESSy COVID-19"
"Austria","AT","deaths","2021-48",480,"TESSy COVID-19"
"Austria","AT","deaths","2021-49",405,"TESSy COVID-19"
"Austria","AT","deaths","2021-50",280,"TESSy COVID-19"
"Austria","AT","deaths","2021-51",172,"TESSy COVID-19"
"Austria","AT","deaths","2021-52",129,"TESSy COVID-19"
"Austria","AT","deaths","2022-01",90,"TESSy COVID-19"
"Austria","AT","deaths","2022-02",69,"TESSy COVID-19"
"Austria","AT","deaths","2022-03",79,"TESSy COVID-19"
"Austria","AT","deaths","2022-04",107,"TESSy COVID-19"
"Austria","AT","deaths","2022-05",141,"TESSy COVID-19"
"Austria","AT","deaths","2022-06",178,"TESSy COVID-19"
"Austria","AT","deaths","2022-07",192,"TESSy COVID-19"
"Austria","AT","deaths","2022-08",214,"TESSy COVID-19"
"Austria","AT","deaths","2022-09",219,"TESSy COVID-19"
"Austria","AT","deaths","2022-10",194,"TESSy COVID-19"
"Austria","AT","deaths","2022-11",238,"TESSy COVID-19"
"Austria","AT","deaths","2022-12",280,"TESSy COVID-19"
"Austria","AT","deaths","2022-13",281,"TESSy COVID-19"
"Austria","AT","deaths","2022-14",214,"TESSy COVID-19"
"Austria","AT","deaths","2022-15",160,"TESSy COVID-19"
"Austria","AT","deaths","2022-16",123,"TESSy COVID-19"
"Austria","AT","deaths","2022-17",89,"TESSy COVID-19"
"Austria","AT","deaths","2022-18",73,"TESSy COVID-19"
"Austria","AT","deaths","2022-19",41,"TESSy COVID-19"
"Austria","AT","deaths","2022-20",34,"TESSy COVID-19"
"Austria","AT","deaths","2022-21",30,"TESSy COVID-19"
"Austria","AT","deaths","2022-22",23,"TESSy COVID-19"
"Austria","AT","deaths","2022-23",23,"TESSy COVID-19"
"Austria","AT","deaths","2022-24",27,"TESSy COVID-19"
"Austria","AT","deaths","2022-25",35,"TESSy COVID-19"
"Austria","AT","deaths","2022-26",47,"TESSy COVID-19"
"Austria","AT","deaths","2022-27",65,"TESSy COVID-19"
"Austria","AT","deaths","2022-28",57,"TESSy COVID-19"
"Austria","AT","deaths","2022-29",91,"TESSy COVID-19"
"Austria","AT","deaths","2022-30",100,"TESSy COVID-19"
"Austria","AT","deaths","2022-31",65,"TESSy COVID-19"
"Austria","AT","deaths","2022-32",68,"TESSy COVID-19"
"Austria","AT","deaths","2022-33",59,"TESSy COVID-19"
"Austria","AT","deaths","2022-34",51,"TESSy COVID-19"
"Austria","AT","deaths","2022-35",36,"TESSy COVID-19"
"Austria","AT","deaths","2022-36",44,"TESSy COVID-19"
"Austria","AT","deaths","2022-37",28,"TESSy COVID-19"
"Austria","AT","deaths","2022-38",33,"TESSy COVID-19"
"Austria","AT","deaths","2022-39",42,"TESSy COVID-19"
"Austria","AT","deaths","2022-40",97,"TESSy COVID-19"
"Austria","AT","deaths","2022-41",80,"TESSy COVID-19"
"Austria","AT","deaths","2022-42",70,"TESSy COVID-19"
"Austria","AT","deaths","2022-43",51,"TESSy COVID-19"
"Belgium","BE","cases","2020-01",0,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-02",0,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-03",0,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-04",0,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-05",0,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-06",0,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-07",0,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-08",0,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-09",19,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-10",388,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-11",1348,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-12",3673,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-13",8130,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-14",9694,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-15",11175,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-16",7963,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-17",5703,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-18",3095,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-19",3051,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-20",2071,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-21",1510,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-22",1144,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-23",847,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-24",671,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-25",668,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-26",607,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-27",637,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-28",704,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-29",1385,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-30",2489,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-31",3759,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-32",4340,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-33",3751,"Epidemic intelligence national data"
"Belgium","BE","cases","2020-34",3453,"Epidemic intelligence national data"
