"location_name","location","indicator","year_week","value","source"
"Austria","AT","cases","2020-01",0,"Epidemic intelligence national data"
"Austria","AT","cases","2020-02",0,"Epidemic intelligence national data"
"Austria","AT","cases","2020-03",0,"Epidemic intelligence national data"
"Austria","AT","cases","2020-04",0,"Epidemic intelligence national data"
"Austria","AT","cases","2020-05",0,"Epidemic intelligence national data"
"Austria","AT","cases","2020-06",0,"Epidemic intelligence national data"
"Austria","AT","cases","2020-07",0,"Epidemic intelligence national data"
"Austria","AT","cases","2020-08",0,"Epidemic intelligence national data"
"Austria","AT","cases","2020-09",12,"Epidemic intelligence national data"
"Austria","AT","cases","2020-10",114,"Epidemic intelligence national data"
"Austria","AT","cases","2020-11",873,"Epidemic intelligence national data"
"Austria","AT","cases","2020-12",3074,"Epidemic intelligence national data"
"Austria","AT","cases","2020-13",5191,"Epidemic intelligence national data"
"Austria","AT","cases","2020-14",3056,"Epidemic intelligence national data"
"Austria","AT","cases","2020-15",1832,"Epidemic intelligence national data"
"Austria","AT","cases","2020-16",684,"Epidemic intelligence national data"
"Austria","AT","cases","2020-17",447,"Epidemic intelligence national data"
"Austria","AT","cases","2020-18",311,"Epidemic intelligence national data"
"Austria","AT","cases","2020-19",264,"Epidemic intelligence national data"
"Austria","AT","cases","2020-20",331,"Epidemic intelligence national data"
"Austria","AT","cases","2020-21",263,"Epidemic intelligence national data"
"Austria","AT","cases","2020-22",195,"Epidemic intelligence national data"
"Austria","AT","cases","2020-23",228,"Epidemic intelligence national data"
"Austria","AT","cases","2020-24",172,"Epidemic intelligence national data"
"Austria","AT","cases","2020-25",248,"Epidemic intelligence national data"
"Austria","AT","cases","2020-26",334,"Epidemic intelligence national data"
"Austria","AT","cases","2020-27",641,"Epidemic intelligence national data"
"Austria","AT","cases","2020-28",596,"Epidemic intelligence national data"
"Austria","AT","cases","2020-29",784,"Epidemic intelligence national data"
"Austria","AT","cases","2020-30",872,"Epidemic intelligence national data"
"Austria","AT","cases","2020-31",796,"Epidemic intelligence national data"
"Austria","AT","cases","2020-32",720,"Epidemic intelligence national data"
"Austria","AT","cases","2020-33",1460,"Epidemic intelligence national data"
"Austria","AT","cases","2020-34",1913,"Epidemic intelligence national data"
"Austria","AT","cases","2020-35",1945,"Epidemic intelligence national data"
"Austria","AT","cases","2020-36",2265,"Epidemic intelligence national data"
"Austria","AT","cases","2020-37",3996,"Epidemic intelligence national data"
"Austria","AT","cases","2020-38",5215,"Epidemic intelligence national data"
"Austria","AT","cases","2020-39",4662,"Epidemic intelligence national data"
"Austria","AT","cases","2020-40",5612,"Epidemic intelligence national data"
"Austria","AT","cases","2020-41",7493,"Epidemic intelligence national data"
"Austria","AT","cases","2020-42",9898,"Epidemic intelligence national data"
"Austria","AT","cases","2020-43",18301,"Epidemic intelligence national data"
"Austria","AT","cases","2020-44",31656,"Epidemic intelligence national data"
"Austria","AT","cases","2020-45",44780,"Epidemic intelligence national data"
"Austria","AT","cases","2020-46",47845,"Epidemic intelligence national data"
"Austria","AT","cases","2020-47",40692,"Epidemic intelligence national data"
"Austria","AT","cases","2020-48",31126,"Epidemic intelligence national data"
"Austria","AT","cases","2020-49",23060,"Epidemic intelligence national data"
"Austria","AT","cases","2020-50",18696,"Epidemic intelligence national data"
"Austria","AT","cases","2020-51",14849,"Epidemic intelligence national data"
"Austria","AT","cases","2020-52",13473,"Epidemic intelligence national data"
"Austria","AT","cases","2020-53",14935,"Epidemic intelligence national data"
"Austria","AT","cases","2021-01",14573,"Epidemic intelligence national data"
"Austria","AT","cases","2021-02",10947,"Epidemic intelligence national data"
"Austria","AT","cases","2021-03",10481,"Epidemic intelligence national data"
"Austria","AT","cases","2021-04",9624,"Epidemic intelligence national data"
"Austria","AT","cases","2021-05",9161,"Epidemic intelligence national data"
"Austria","AT","cases","2021-06",9540,"Epidemic intelligence national data"
"Austria","AT","cases","2021-07",11738,"Epidemic intelligence national data"
"Austria","AT","cases","2021-08",14310,"Epidemic intelligence national data"
"Austria","AT","cases","2021-09",16350,"Epidemic intelligence national data"
"Austria","AT","cases","2021-10",18326,"Epidemic intelligence national data"
"Austria","AT","cases","2021-11",21152,"Epidemic intelligence national data"
"Austria","AT","cases","2021-12",22406,"Epidemic intelligence national data"
"Austria","AT","cases","2021-13",20880,"Epidemic intelligence national data"
"Austria","AT","cases","2021-14",17722,"Epidemic intelligence national data"
"Austria","AT","cases","2021-15",16928,"Epidemic intelligence national data"
"Austria","AT","cases","2021-16",15187,"Epidemic intelligence national data"
"Austria","AT","cases","2021-17",12781,"Epidemic intelligence national data"
"Austria","AT","cases","2021-18",8914,"Epidemic intelligence national data"
"Austria","AT","cases","2021-19",5776,"Epidemic intelligence national data"
"Austria","AT","cases","2021-20",4182,"Epidemic intelligence national data"
"Austria","AT","cases","2021-21",3173,"Epidemic intelligence national data"
"Austria","AT","cases","2021-22",2426,"Epidemic intelligence national data"
"Austria","AT","cases","2021-23",1685,"Epidemic intelligence national data"
"Austria","AT","cases","2021-24",1001,"Epidemic intelligence national data"
"Austria","AT","cases","2021-25",681,"Epidemic intelligence national data"
"Austria","AT","cases","2021-26",632,"Epidemic intelligence national data"
"Austria","AT","cases","2021-27",1093,"Epidemic intelligence national data"
"Austria","AT","cases","2021-28",2204,"Epidemic intelligence national data"
"Austria","AT","cases","2021-29",2522,"Epidemic intelligence national data"
"Austria","AT","cases","2021-30",3259,"Epidemic intelligence national data"
"Austria","AT","cases","2021-31",3665,"Epidemic intelligence national data"
"Austria","AT","cases","2021-32",5899,"Epidemic intelligence national data"
"Austria","AT","cases","2021-33",8068,"Epidemic intelligence national data"
"Austria","AT","cases","2021-34",9433,"Epidemic intelligence national data"
"Austria","AT","cases","2021-35",11279,"Epidemic intelligence national data"
"Austria","AT","cases","2021-36",14082,"Epidemic intelligence national data"
"Austria","AT","cases","2021-37",13774,"Epidemic intelligence national data"
"Austria","AT","cases","2021-38",11743,"Epidemic intelligence national data"
"Austria","AT","cases","2021-39",12602,"Epidemic intelligence national data"
"Austria","AT","cases","2021-40",12789,"Epidemic intelligence national data"
"Austria","AT","cases","2021-41",15352,"Epidemic intelligence national data"
"Austria","AT","cases","2021-42",23852,"Epidemic intelligence national data"
"Austria","AT","cases","2021-43",34598,"Epidemic intelligence national data"
"Austria","AT","cases","2021-44",56470,"Epidemic intelligence national data"
"Austria","AT","cases","2021-45",78832,"Epidemic intelligence national data"
"Austria","AT","cases","2021-46",97152,"Epidemic intelligence national data"
"Austria","AT","cases","2021-47",82719,"Epidemic intelligence national data"
"Austria","AT","cases","2021-48",50907,"Epidemic intelligence national data"
"Austria","AT","cases","2021-49",29218,"Epidemic intelligence national data"
"Austria","AT","cases","2021-50",18878,"Epidemic intelligence national data"
"Austria","AT","cases","2021-51",14649,"Epidemic intelligence national data"
"Austria","AT","cases","2021-52",23096,"Epidemic intelligence national data"
"Austria","AT","cases","2022-01",62332,"Epidemic intelligence national data"
"Austria","AT","cases","2022-02",110826,"Epidemic intelligence national data"
"Austria","AT","cases","2022-03",176347,"Epidemic intelligence national data"
"Austria","AT","cases","2022-04",227748,"Epidemic intelligence national data"
"Austria","AT","cases","2022-05",232447,"Epidemic intelligence national data"
"Austria","AT","cases","2022-06",216409,"Epidemic intelligence national data"
"Austria","AT","cases","2022-07",195615,"Epidemic intelligence national data"
"Austria","AT","cases","2022-08",185979,"Epidemic intelligence national data"
"Austria","AT","cases","2022-09",218183,"Epidemic intelligence national data"
"Austria","AT","cases","2022-10",301070,"Epidemic intelligence national data"
"Austria","AT","cases","2022-11",318022,"Epidemic intelligence national data"
"Austria","AT","cases","2022-12",249900,"Epidemic intelligence national data"
"Austria","AT","cases","2022-13",152773,"Epidemic intelligence national data"
"Austria","AT","cases","2022-14",97269,"Epidemic intelligence national data"
"Austria","AT","cases","2022-15",63904,"Epidemic intelligence national data"
"Austria","AT","cases","2022-16",49583,"Epidemic intelligence national data"
"Austria","AT","cases","2022-17",40728,"Epidemic intelligence national data"
"Austria","AT","cases","2022-18",37307,"Epidemic intelligence national data"
"Austria","AT","cases","2022-19",30040,"Epidemic intelligence national data"
"Austria","AT","cases","2022-20",20415,"Epidemic intelligence national data"
"Austria","AT","cases","2022-21",15399,"Epidemic intelligence national data"
"Austria","AT","cases","2022-22",19634,"Epidemic intelligence national data"
"Austria","AT","cases","2022-23",25534,"Epidemic intelligence national data"
"Austria","AT","cases","2022-24",40978,"Epidemic intelligence national data"
"Austria","AT","cases","2022-25",60467,"Epidemic intelligence national data"
"Austria","AT","cases","2022-26",71627,"Epidemic intelligence national data"
"Austria","AT","cases","2022-27",74042,"Epidemic intelligence national data"
"Austria","AT","cases","2022-28",83833,"Epidemic intelligence national data"
"Austria","AT","cases","2022-29",80392,"Epidemic intelligence national data"
"Austria","AT","cases","2022-30",55448,"Epidemic intelligence national data"
"Austria","AT","cases","2022-31",43750,"Epidemic intelligence national data"
"Austria","AT","deaths","2020-01",0,"Epidemic intelligence national data"
